Data storage initialized.

Single GPU detected. Setting up the simulation there.
Start preparing data.
Finished data prepartion.

Starting optimization.
Seed set to 764498364

Starting individual 1 of 10 in generation 1 of 100.
Epoch 1/100 done. Train accuracy: 3.77%, Test accuracy: 3.59%, Loss: 82.72919.
Epoch 2/100 done. Train accuracy: 3.60%, Test accuracy: 3.39%, Loss: 63.97453.
Epoch 3/100 done. Train accuracy: 3.90%, Test accuracy: 3.89%, Loss: 53.25242.
Epoch 4/100 done. Train accuracy: 3.44%, Test accuracy: 4.02%, Loss: 33.58064.
Epoch 5/100 done. Train accuracy: 3.56%, Test accuracy: 3.10%, Loss: 16.92189.
Epoch 6/100 done. Train accuracy: 3.93%, Test accuracy: 4.11%, Loss: 9.82334.
Epoch 7/100 done. Train accuracy: 3.39%, Test accuracy: 3.39%, Loss: 5.81371.
Epoch 8/100 done. Train accuracy: 3.81%, Test accuracy: 2.90%, Loss: 5.61157.
Epoch 9/100 done. Train accuracy: 4.04%, Test accuracy: 3.46%, Loss: 5.54129.
Epoch 10/100 done. Train accuracy: 3.56%, Test accuracy: 3.81%, Loss: 5.47285.
Epoch 11/100 done. Train accuracy: 3.56%, Test accuracy: 3.78%, Loss: 5.41668.
Epoch 12/100 done. Train accuracy: 3.83%, Test accuracy: 4.37%, Loss: 5.36897.
Epoch 13/100 done. Train accuracy: 3.43%, Test accuracy: 4.21%, Loss: 5.35310.
Epoch 14/100 done. Train accuracy: 3.85%, Test accuracy: 3.78%, Loss: 5.30059.
Epoch 15/100 done. Train accuracy: 3.71%, Test accuracy: 3.95%, Loss: 5.27653.
Epoch 16/100 done. Train accuracy: 3.56%, Test accuracy: 3.98%, Loss: 5.24477.
Epoch 17/100 done. Train accuracy: 3.75%, Test accuracy: 3.68%, Loss: 5.19494.
Epoch 18/100 done. Train accuracy: 3.77%, Test accuracy: 3.85%, Loss: 5.16533.
Epoch 19/100 done. Train accuracy: 3.93%, Test accuracy: 4.11%, Loss: 5.11827.
Epoch 20/100 done. Train accuracy: 3.79%, Test accuracy: 4.21%, Loss: 5.10166.
Epoch 21/100 done. Train accuracy: 3.71%, Test accuracy: 3.78%, Loss: 5.07560.
Epoch 22/100 done. Train accuracy: 3.69%, Test accuracy: 3.98%, Loss: 5.04046.
Epoch 23/100 done. Train accuracy: 3.73%, Test accuracy: 3.78%, Loss: 5.00099.
Epoch 24/100 done. Train accuracy: 3.80%, Test accuracy: 3.95%, Loss: 4.94668.
Epoch 25/100 done. Train accuracy: 3.65%, Test accuracy: 4.04%, Loss: 4.89609.
Epoch 26/100 done. Train accuracy: 4.04%, Test accuracy: 4.11%, Loss: 4.88432.
Epoch 27/100 done. Train accuracy: 3.87%, Test accuracy: 4.11%, Loss: 4.85668.
Epoch 28/100 done. Train accuracy: 3.73%, Test accuracy: 3.69%, Loss: 4.83250.
Epoch 29/100 done. Train accuracy: 3.66%, Test accuracy: 3.65%, Loss: 4.82202.
Epoch 30/100 done. Train accuracy: 3.90%, Test accuracy: 4.11%, Loss: 4.80938.
Epoch 31/100 done. Train accuracy: 3.79%, Test accuracy: 3.46%, Loss: 4.77322.
Epoch 32/100 done. Train accuracy: 3.87%, Test accuracy: 3.89%, Loss: 4.75857.
Epoch 33/100 done. Train accuracy: 3.74%, Test accuracy: 3.65%, Loss: 4.73622.
Epoch 34/100 done. Train accuracy: 3.94%, Test accuracy: 3.59%, Loss: 4.71002.
Epoch 35/100 done. Train accuracy: 3.75%, Test accuracy: 3.65%, Loss: 4.70083.
Epoch 36/100 done. Train accuracy: 4.00%, Test accuracy: 3.72%, Loss: 4.67941.
Epoch 37/100 done. Train accuracy: 3.37%, Test accuracy: 3.78%, Loss: 4.68108.
Epoch 38/100 done. Train accuracy: 3.87%, Test accuracy: 3.78%, Loss: 4.65586.
Epoch 39/100 done. Train accuracy: 3.75%, Test accuracy: 3.65%, Loss: 4.63621.
Epoch 40/100 done. Train accuracy: 3.76%, Test accuracy: 3.59%, Loss: 4.61632.
Epoch 41/100 done. Train accuracy: 3.97%, Test accuracy: 3.72%, Loss: 4.61429.
Epoch 42/100 done. Train accuracy: 3.78%, Test accuracy: 3.65%, Loss: 4.60325.
Epoch 43/100 done. Train accuracy: 3.98%, Test accuracy: 3.46%, Loss: 4.56842.
Epoch 44/100 done. Train accuracy: 3.86%, Test accuracy: 3.78%, Loss: 4.54681.
Epoch 45/100 done. Train accuracy: 3.93%, Test accuracy: 3.72%, Loss: 4.52005.
Epoch 46/100 done. Train accuracy: 3.61%, Test accuracy: 3.59%, Loss: 4.52062.
Epoch 47/100 done. Train accuracy: 3.96%, Test accuracy: 4.30%, Loss: 4.49540.
Epoch 48/100 done. Train accuracy: 3.76%, Test accuracy: 3.65%, Loss: 4.47953.
Epoch 49/100 done. Train accuracy: 3.79%, Test accuracy: 3.59%, Loss: 4.45226.
Epoch 50/100 done. Train accuracy: 3.71%, Test accuracy: 3.59%, Loss: 4.45540.
Epoch 51/100 done. Train accuracy: 3.78%, Test accuracy: 3.26%, Loss: 4.43679.
Epoch 52/100 done. Train accuracy: 3.65%, Test accuracy: 3.59%, Loss: 4.42742.
Epoch 53/100 done. Train accuracy: 3.66%, Test accuracy: 3.46%, Loss: 4.41971.
Epoch 54/100 done. Train accuracy: 3.80%, Test accuracy: 3.85%, Loss: 4.41164.
Epoch 55/100 done. Train accuracy: 3.78%, Test accuracy: 3.65%, Loss: 4.40497.
Epoch 56/100 done. Train accuracy: 3.96%, Test accuracy: 3.85%, Loss: 4.38190.
Epoch 57/100 done. Train accuracy: 4.13%, Test accuracy: 3.78%, Loss: 4.36380.
Epoch 58/100 done. Train accuracy: 3.84%, Test accuracy: 3.72%, Loss: 4.35615.
Epoch 59/100 done. Train accuracy: 3.83%, Test accuracy: 3.65%, Loss: 4.35057.
Epoch 60/100 done. Train accuracy: 3.92%, Test accuracy: 3.46%, Loss: 4.33342.
Epoch 61/100 done. Train accuracy: 3.95%, Test accuracy: 3.52%, Loss: 4.33502.
Epoch 62/100 done. Train accuracy: 3.92%, Test accuracy: 3.72%, Loss: 4.31989.
Epoch 63/100 done. Train accuracy: 3.97%, Test accuracy: 3.85%, Loss: 4.30553.
Epoch 64/100 done. Train accuracy: 4.00%, Test accuracy: 3.91%, Loss: 4.29066.
Epoch 65/100 done. Train accuracy: 3.89%, Test accuracy: 3.72%, Loss: 4.29446.
Epoch 66/100 done. Train accuracy: 3.78%, Test accuracy: 3.85%, Loss: 4.28475.
Epoch 67/100 done. Train accuracy: 3.77%, Test accuracy: 3.78%, Loss: 4.29101.
Epoch 68/100 done. Train accuracy: 3.89%, Test accuracy: 3.52%, Loss: 4.27913.
