Data storage initialized.

Single GPU detected. Setting up the simulation there.
Start preparing data.
Finished data prepartion.

Starting optimization.
Seed set to 2174089859

Starting individual 1 of 10 in generation 1 of 100.
Epoch 1/100 done. Train accuracy: 3.57%, Test accuracy: 4.43%, Loss: 85.86923.
Epoch 2/100 done. Train accuracy: 3.80%, Test accuracy: 3.75%, Loss: 60.28556.
Epoch 3/100 done. Train accuracy: 3.58%, Test accuracy: 3.52%, Loss: 38.82400.
Epoch 4/100 done. Train accuracy: 3.83%, Test accuracy: 4.12%, Loss: 24.34361.
Epoch 5/100 done. Train accuracy: 3.76%, Test accuracy: 4.04%, Loss: 14.48016.
Epoch 6/100 done. Train accuracy: 3.73%, Test accuracy: 3.10%, Loss: 7.02028.
Epoch 7/100 done. Train accuracy: 3.82%, Test accuracy: 3.91%, Loss: 5.28161.
Epoch 8/100 done. Train accuracy: 3.29%, Test accuracy: 3.94%, Loss: 5.09949.
Epoch 9/100 done. Train accuracy: 3.27%, Test accuracy: 4.17%, Loss: 5.01121.
Epoch 10/100 done. Train accuracy: 3.39%, Test accuracy: 3.26%, Loss: 4.90351.
Epoch 11/100 done. Train accuracy: 3.56%, Test accuracy: 3.88%, Loss: 4.86554.
Epoch 12/100 done. Train accuracy: 3.69%, Test accuracy: 3.89%, Loss: 4.75523.
Epoch 13/100 done. Train accuracy: 3.98%, Test accuracy: 3.30%, Loss: 4.71183.
Epoch 14/100 done. Train accuracy: 3.58%, Test accuracy: 2.86%, Loss: 4.66690.
Epoch 15/100 done. Train accuracy: 3.58%, Test accuracy: 3.91%, Loss: 4.60331.
Epoch 16/100 done. Train accuracy: 3.72%, Test accuracy: 3.65%, Loss: 4.57948.
Epoch 17/100 done. Train accuracy: 4.14%, Test accuracy: 3.62%, Loss: 4.52029.
Epoch 18/100 done. Train accuracy: 3.79%, Test accuracy: 3.26%, Loss: 4.46295.
Epoch 19/100 done. Train accuracy: 3.54%, Test accuracy: 3.03%, Loss: 4.44159.
Epoch 20/100 done. Train accuracy: 3.69%, Test accuracy: 3.68%, Loss: 4.41735.
